drink,score
Barbados Rum Punch,4.15
El Presidente,4.15
Queen's Park Swizzle,4.08
The Mastadon,3.88
Lei Lani Volcano 2.0,3.57
Zombie,3.50
Golden Gun,3.43
Jungle Bird,3.39
Kaiteur Swizzle,3.37
Chartreuse Swizzle,3.31
Saturn,3.26
Grog,3.26
Tradewinds,3.24
Planter's Punch,3.19
Jet Pilot,3.11
Suffering Bastard,3.07
A Wish For Grace,2.98
Puka Punch,2.98
Kahiko Punch,2.98
Port Royal,2.98
Navy Grog,2.98
Hurricane,2.98
Top Notch Volcano,2.98
Mary Pickford,2.98
Humuhumunukunukuapua'A,2.95
Formidable Dragon,2.89
For Pete's Sake,2.89
Hondo Hattie's Jungle Punch!,2.89
Jamaican Milk Punch,2.89
Pampanito,2.89
Paniolo Old-Fashioned,2.89
Port Au Prince,2.89
Pupule,2.89
Singapore Sling,2.89
The Dead Reckoning,2.89
Rumbustion Punch,2.89
Bumboat,2.89
Yuletidal Wave,2.89
El Draque,2.89
Boo Loo,2.89
Center Of The Galaxy,2.89
Hibiscus Rum Punch,2.89
Demerara Dry Float,2.65
The Expedition,2.65
Aku Aku,2.62
Mai Tai,2.62
Doctor Funk,2.17
Norwegian Paralysis,2.17
The Naked Ape,2.17
Halekulani Cocktail,2.17
Roselita,2.17
Merciless Virgin,2.17
Sidewinder's Fang,2.17
Richard Sealebach,1.91
The Ernesto,1.62
Scorpion,1.62
Fog Cutter,1.62
